2.4, 3.1, 3.2, 37.2, 32.3, 30.4, 1
2.8, 3.0, 2.75, 37.5, 30.6, 31.9, 0
2.0, 3.4, 3.9, 46.8, 27.1, 26.1, 0
2.7, 3.2, 2.9, 36.0, 25.6, 38.4, 2
1.2, 7.5, 17.0, 76.4, 17.1, 6.4, 1
4.75, 3.75, 1.83, 20.0, 24.9, 55.1, 2
2.7, 3.2, 2.9, 37.6, 27.5, 34.9, 1
4.2, 3.5, 2.0, 20.8, 28.4, 50.8, 0
1.3, 6.0, 11.0, 74.7, 17.6, 7.8, 0
3.1, 3.4, 2.3, 21.4, 26.4, 52.2, 1
1.33, 5.25, 9.0, 68.0, 21.2, 10.8, 0
2.9, 3.3, 2.5, 27.2, 26.1, 46.7, 0
1.91, 3.5, 4.2, 51.4, 23.9, 24.8, 0
17.0, 7.0, 1.18, 14.0, 19.4, 66.6, 2
2.25, 3.2, 3.4, 35.4, 27.2, 37.4, 2
1.57, 3.8, 6.5, 62.6, 22.7, 14.6, 0
2.55, 3.2, 2.9, 29.0, 29.8, 41.3, 1
1.8, 3.8, 4.75, 52.2, 24.3, 23.5, 1
1.83, 3.6, 5.0, 52.2, 26.0, 21.8, 1
2.63, 3.3, 2.9, 46.3, 26.4, 27.3, 2
1.44, 4.33, 8.0, 66.0, 23.6, 10.4, 0
2.0, 3.2, 4.2, 58.2, 25.1, 16.6, 0
1.6, 3.8, 6.0, 56.0, 23.8, 20.2, 0
5.0, 3.6, 1.75, 18.2, 23.3, 58.5, 1
1.75, 3.6, 5.0, 54.1, 26.4, 19.5, 1
2.3, 3.1, 3.4, 49.6, 28.1, 22.3, 0
1.5, 4.0, 7.5, 60.3, 25.7, 14.0, 0
3.3, 3.25, 2.3, 34.2, 27.0, 38.8, 2
2.38, 3.2, 3.2, 41.9, 31.2, 26.9, 1
1.1, 10.0, 26.0, 78.4, 15.2, 6.3, 0
1.44, 4.5, 7.5, 71.6, 19.0, 9.4, 2
1.5, 4.33, 6.5, 49.3, 23.9, 26.9, 0
1.36, 4.75, 9.0, 70.3, 20.4, 9.3, 0
2.0, 3.6, 3.6, 55.2, 27.2, 17.6, 0
2.1, 3.5, 3.4, 55.9, 26.4, 17.8, 1
2.8, 3.4, 2.5, 22.9, 28.2, 48.8, 0
2.0, 3.6, 3.6, 62.3, 24.2, 13.5, 0
17.0, 7.5, 1.17, 16.6, 20.3, 63.1, 2
1.67, 3.75, 5.5, 51.8, 25.7, 22.5, 0
2.25, 3.2, 3.4, 44.8, 27.2, 28.0, 1
1.75, 3.6, 5.0, 53.8, 25.2, 21.0, 0
2.8, 3.1, 2.7, 28.6, 30.6, 40.8, 0
1.95, 3.3, 4.33, 53.2, 26.6, 20.2, 0
1.7, 3.6, 5.5, 48.9, 28.5, 22.6, 1
2.3, 3.2, 3.3, 39.2, 29.2, 31.7, 2
2.88, 3.1, 2.63, 27.4, 26.6, 46.0, 1
2.15, 3.4, 3.75, 46.1, 27.2, 26.8, 2
3.4, 3.2, 2.38, 30.2, 28.5, 41.4, 0
1.91, 3.5, 4.75, 54.6, 26.9, 18.5, 0
1.95, 3.5, 4.5, 51.9, 28.6, 19.5, 0
1.36, 5.25, 10.0, 68.4, 19.2, 12.5, 0
3.0, 3.1, 2.5, 27.5, 29.3, 43.2, 1
3.6, 3.75, 1.91, 28.3, 29.0, 42.7, 2
1.57, 4.0, 6.0, 62.3, 23.5, 14.1, 0
3.0, 3.2, 2.45, 34.6, 24.5, 40.9, 1
1.2, 7.0, 13.0, 67.8, 20.0, 12.2, 1
2.2, 3.1, 3.6, 42.4, 34.6, 23.0, 0
2.1, 3.2, 3.8, 45.4, 26.6, 28.0, 0
3.25, 3.1, 2.38, 28.8, 30.0, 41.2, 1
3.1, 3.6, 2.38, 35.8, 28.3, 35.9, 0
1.57, 4.5, 6.0, 58.5, 22.8, 18.7, 0
1.95, 3.5, 4.0, 47.0, 24.7, 28.3, 2
2.3, 3.1, 3.3, 37.2, 32.2, 30.7, 1
2.5, 3.1, 3.0, 35.1, 28.7, 36.2, 2
3.0, 3.1, 2.5, 27.4, 27.6, 45.0, 0
3.25, 3.25, 2.2, 30.9, 27.5, 41.7, 2
2.15, 3.4, 3.4, 37.9, 23.6, 38.5, 2
3.2, 3.3, 2.3, 35.2, 27.8, 36.9, 0
1.5, 4.2, 7.0, 65.3, 22.3, 12.5, 1
3.3, 3.3, 2.25, 26.3, 25.9, 47.7, 1
2.88, 3.1, 2.88, 31.1, 30.3, 38.5, 0
2.15, 3.3, 3.9, 42.9, 26.6, 30.4, 1
1.7, 3.8, 5.75, 62.2, 22.2, 15.5, 0
2.63, 3.25, 2.75, 33.2, 28.2, 38.6, 0
6.25, 4.0, 1.62, 14.7, 21.4, 63.9, 2
1.25, 7.0, 13.0, 74.8, 18.1, 7.1, 0
4.2, 3.5, 2.0, 19.4, 25.5, 55.1, 2
2.5, 3.3, 3.1, 41.9, 26.7, 31.4, 0
1.75, 3.8, 5.25, 53.8, 23.5, 22.7, 0
7.0, 4.33, 1.53, 26.0, 24.9, 49.2, 2
1.36, 5.25, 10.0, 70.3, 19.9, 9.8, 0
2.1, 3.3, 3.6, 41.0, 26.6, 32.4, 1
3.1, 3.2, 2.4, 18.8, 25.9, 55.3, 2
6.0, 4.33, 1.53, 21.3, 22.1, 56.6, 1
3.5, 3.5, 2.1, 28.9, 26.9, 44.3, 0
13.0, 6.5, 1.22, 9.6, 17.3, 73.1, 2
2.6, 3.4, 2.7, 41.8, 28.8, 29.4, 2
2.25, 3.4, 3.2, 34.9, 24.8, 40.3, 0
2.6, 3.3, 2.75, 31.1, 26.4, 42.6, 1
3.8, 3.4, 2.05, 26.7, 25.6, 47.7, 2
7.0, 4.75, 1.44, 16.3, 21.1, 62.6, 0
